child_value,danaos_co_code,database,company,short_name,name,managed_by,company_group,chart,company_type,base_currency,remarks,group_flag_1,group_flag_2,official_currency,global_vessel_id,create_intercompanies,is_filing,active_flag,company_level,bank_ledger,group_details_from,group_details_to,tonnage_tax_from,tonnage_tax_to,vat_group_from,vat_group_to,incexp_managed_by
6174,2159,,2159,CMA CGM ARGENTIN,CMA CGM ARGENTINA,13,X,C,V,USD,"Ex Hull S985, Vsl delivered on 1/7/19 0820 LT, Korea",1,1,USD,,Y,Y,Y,0,,,,,,,,
6175,2024,,2024,FLORIDA BAY,FLORIDA BAY,13,X,C,V,USD,"Name chg fm Bavaria to Florida Bay on 11/11/19 1400 Sg Time(Ex Niledutch Giraffe wef 6/6/14,back to Bavaria on15/6/15",1,1,USD,,Y,Y,Y,0,,,,,,,,
6176,2172,,2172,HULL S990,HULL S990,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6177,2169,,2169,HULL S991,HULL S991,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6178,2022,,2022,CORONADO BAY,CORONADO BAY,13,X,C,V,USD,,1,1,USD,,Y,Y,Y,0,,,,,,,,
6179,2018,,2018,GLACIER BAY,GLACIER BAY,13,X,C,V,USD,Name chg fm Blackpool Tower to Glacier Bay wef 28 Jan 19,1,7,USD,,Y,Y,Y,0,,,,,,,,
6181,2037,,2037,MOL ABIDJAN,MOL ABIDJAN,13,X,C,V,USD,Ex MSC Abidjan. Name chg fm MSC Abidjan to MOL Abidjan on 15/7/16,1,1,USD,,Y,Y,Y,0,,,,,,,,
6183,2160,,2160,CMA CGM MEXICO,CMA CGM MEXICO,13,X,C,V,USD,Ex Hull S986. Vsl delivered on 19/7/19 1336 LT Korea,1,1,USD,,Y,Y,Y,0,,,,,,,,
6184,2027,,2027,LYME BAY,LYME BAY,13,X,C,V,USD,Vessel rename from Hanjin New Jersey on 17/9/16. Ex Hull 4029 (SUNGDONG) ,1,1,USD,,Y,Y,Y,0,,,,,,,,
6185,2081,,2081,MSC NATASHA,MSC NATASHA,13,X,C,V,USD,Rename from Maersk Eubank to MSC Natasha on 12/3/18,1,1,USD,,Y,Y,Y,0,,,,,,,,
