child_value,child_description,parent1,parent1_description,parent2,parent2_description,parent3,parent3_descriptin,parent4,parent4_description,parent5,parent5_description,parent6,parent6_description,parent7,parent7_description,parent8,parent8_description,parent9,parent9_description,le,danaos_co_code,database
4156,DUNFED SHIPPING INC.,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2023,
4157,NIPSTAN MARITIME INC. ,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4150,WARTON SHIPPING LIMITED-HOLDING COMPANY,4140,KERBON SHIPPING INC-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,2004,
4301,PENWOOD SWAPCO INC.,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4302,QPS SWAPCO INC ,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4300,PENWOOD SWAPCO INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4321,HAJOCO INTERNATIONAL B.V.,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4322,EPS CHARTERING (UK) LIMITED,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4320,HARLAND SHIPPING LIMITED-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,55,
4342,RAYMAN FINANCE LTD,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,none,
4343,JENSAL SHIPPING INC.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4340,RAYMAN INTERNATIONAL LTD.,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,1139,
4361,SOUTH AMERICAN TANKER INC.,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,SG-LE,53,
4371,TANKER BRAZIL LIMITED,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4370,TANKER BRAZIL LIMITED-HOLDING COMPANY,4360,SOUTH AMERICAN TANKER INC.-HOLDING COMPANY,4000,QUANTUM PACIFIC SHIPPING LIMITED-HOLDING COMPANY,T,TOTAL OF ALL COMPANIES,T,TOTAL OF ALL COMPANIES,UK-LE,49,
