ledger_card,source_system,oracle_natural_account
23360,DANAOS,183598
23370,DANAOS,183512
23370,QCT,183512
23370,PENWOOD,183512
23370,CUBIC,183512
23380,PENWOOD,183514
23380,QCT,183514
23380,CUBIC,183514
23380,DANAOS,183514
23390,CUBIC,183598
23390,PENWOOD,183598
23390,DANAOS,183598
23400,PENWOOD,183336
23401,PENWOOD,183334
24020,PENWOOD,152002
24020,DANAOS,152002
24020,QCT,152002
24040,PENWOOD,152002
24040,QCT,152002
24040,EPSCHARTER,152002
24040,CUBIC,152002
24040,DANAOS,152002
24060,PENWOOD,152006
24060,CUBIC,152006
24060,DANAOS,152006
24060,QCT,152006
24080,QCT,152004
24080,DANAOS,152004
24080,PENWOOD,152004
25001,CUBIC,183798
25001,DANAOS,183798
25001,QCT,183798
25001,PENWOOD,183798
25010,PENWOOD,183798
25010,DANAOS,183798
25010,QCT,183798
25015,CUBIC,183798
25020,PENWOOD,183152
25020,CUBIC,183152
25020,EPSCHARTER,183152
25020,QCT,183152
25020,DANAOS,183152
25025,PENWOOD,183112
25025,DANAOS,183112
25025,QCT,183112
25030,DANAOS,185002
25030,PENWOOD,185002
25030,EPSCHARTER,185002
25030,QCT,185002
25040,PENWOOD,185004
25040,QCT,185004
25040,DANAOS,185004
25040,EPSCHARTER,185004
25050,PENWOOD,183154
25050,CUBIC,183154
25050,DANAOS,183154
25050,QCT,183154
25051,PENWOOD,185006
25051,DANAOS,185006
25052,PENWOOD,183154
25052,EPSCHARTER,183154
25060,PENWOOD,231302
25060,QCT,231302
25060,CUBIC,231302
25062,PENWOOD,231302
25062,CUBIC,231302
25065,CUBIC,217102
25065,PENWOOD,217102
25070,PENWOOD,183716
25070,CUBIC,183716
25070,DANAOS,183716
25071,DANAOS,183718
25071,QCT,183718
25071,EPSCHARTER,183718
25071,PENWOOD,183718
25072,QCT,183722
25072,DANAOS,183722
25072,EPSCHARTER,183722
25072,PENWOOD,183722
25073,PENWOOD,183722
25073,DANAOS,183722
25074,EPSCHARTER,185002
25074,PENWOOD,185002
25075,PENWOOD,183152
25075,EPSCHARTER,183152
25076,PENWOOD,185004
25076,EPSCHARTER,185004
25078,EPSCHARTER,183724
25079,PENWOOD,183726
25079,QCT,183726
25079,DANAOS,183726
25080,CUBIC,161002
25080,PENWOOD,161002
25090,PENWOOD,183712
25090,DANAOS,183712
25090,QCT,183712
25110,EPSCHARTER,183714
25110,DANAOS,183714
25110,PENWOOD,183714
25110,QCT,183714
25210,DANAOS,183728
25230,CUBIC,183728
25230,DANAOS,183728
25230,QCT,183728
25230,PENWOOD,183728
25240,DANAOS,183732
25240,CUBIC,183732
25240,QCT,183732
25240,PENWOOD,183732
25250,PENWOOD,183732
25250,QCT,183732
25250,DANAOS,183732
25250,CUBIC,183732
25260,DANAOS,183732
25270,PENWOOD,183732
25270,DANAOS,183732
25290,QCT,183734
25290,CUBIC,183734
25290,PENWOOD,183734
25290,DANAOS,183734
25291,DANAOS,183734
25300,PENWOOD,183744
25300,DANAOS,183744
25300,QCT,183744
25300,CUBIC,183744
25310,DANAOS,183736
25310,QCT,183736
25310,CUBIC,183736
25310,PENWOOD,183736
25311,CUBIC,183738
25311,DANAOS,183738
25311,PENWOOD,183738
25311,QCT,183738
25320,PENWOOD,183746
25320,CUBIC,183746
25320,DANAOS,183746
25320,QCT,183746
25330,QCT,183748
25330,PENWOOD,183748
25330,DANAOS,183748
25330,CUBIC,183748
25330,EPSCHARTER,183748
25340,CUBIC,183732
25340,QCT,183732
25340,PENWOOD,183732
25340,EPSCHARTER,183732
25340,DANAOS,183732
25350,DANAOS,183722
25360,QCT,183748
25360,PENWOOD,183748
25360,DANAOS,183748
26000,PENWOOD,168998
26010,PENWOOD,168998
26020,PENWOOD,168998
26030,PENWOOD,168998
26040,PENWOOD,168998
26041,PENWOOD,168998
26050,PENWOOD,168998
26060,PENWOOD,168998
26105,PENWOOD,168998
26110,PENWOOD,168998
26115,PENWOOD,168998
26120,PENWOOD,168998
26125,PENWOOD,168998
26130,PENWOOD,168998
26135,PENWOOD,168998
26140,PENWOOD,168998
26145,PENWOOD,168998
26150,PENWOOD,168998
26155,PENWOOD,168998
26160,PENWOOD,168998
26165,PENWOOD,168998
26200,PENWOOD,168998
26205,PENWOOD,168998
26210,PENWOOD,168998
26215,PENWOOD,168998
26220,PENWOOD,168998
26225,PENWOOD,168998
26230,PENWOOD,168998
26235,PENWOOD,168998
26240,PENWOOD,168998
26245,PENWOOD,168998
26250,PENWOOD,168998
26300,PENWOOD,168998
26305,PENWOOD,168998
26310,PENWOOD,168998
26315,PENWOOD,168998
26320,PENWOOD,168998
26400,PENWOOD,168998
26450,PENWOOD,131316
26451,PENWOOD,131396
26452,PENWOOD,149496
26500,PENWOOD,121102
26501,PENWOOD,122102
26510,DANAOS,118002
26510,PENWOOD,118002
26510,CUBIC,118002
26510,QCT,118002
26515,PENWOOD,118004
31010,TPMOFF,251102
31015,TPMOFF,261798
31020,TPMOFF,261406
31021,TPMOFF,183154
31025,TPMOFF,261406
31030,TPMOFF,261102
31040,TPMOFF,261406
31050,CUBIC,251102
31050,DANAOS,251102
31050,PENWOOD,251102
31050,QCT,251102
31050,TPMOFF,281002
31060,PENWOOD,251102
31060,TPMOFF,181104
31061,TPMOFF,181104
31061,QCT,181104
31061,PENWOOD,181104
31061,CUBIC,181104
31062,TPMOFF,181104
31062,PENWOOD,181104
31063,TPMOFF,181104
31063,PENWOOD,181104
31064,PENWOOD,181104
31065,DANAOS,181104
31065,TPMOFF,181104
31065,QCT,181104
31065,PENWOOD,181104
31065,CUBIC,181104
31067,DANAOS,181104
31067,QCT,181104
31067,PENWOOD,181104
31067,CUBIC,181104
31068,TPMOFF,181104
31068,PENWOOD,181104
31069,QCT,181104
31069,DANAOS,181104
31069,PENWOOD,181104
31070,TPMOFF,181104
31100,CUBIC,251102
31100,DANAOS,251102
31100,QCT,251102
31100,PENWOOD,251102
31150,CUBIC,251102
31150,PENWOOD,251102
31200,PENWOOD,251102
31200,DANAOS,251102
31200,CUBIC,251102
31250,PENWOOD,251102
31260,PENWOOD,251102
31260,CUBIC,251102
31350,PENWOOD,251102
31350,CUBIC,251102
31350,DANAOS,251102
31400,PENWOOD,251102
31400,DANAOS,251102
31400,CUBIC,251102
31410,CUBIC,233002
31410,PENWOOD,233002
31415,PENWOOD,233058
31416,PENWOOD,161062
31417,PENWOOD,233056
31420,PENWOOD,261102
31420,DANAOS,261102
31420,EPSCHARTER,261102
31430,DANAOS,261316
31430,EPSCHARTER,261316
31430,PENWOOD,261316
31440,PENWOOD,251102
31450,CUBIC,261102
31450,QCT,261102
31450,PENWOOD,261102
31450,DANAOS,261102
31455,DANAOS,183398
31456,DANAOS,261312
31458,DANAOS,261314
31470,CUBIC,261404
31470,PENWOOD,261404
31500,DANAOS,261318
31600,DANAOS,251102
31610,DANAOS,181104
31610,PENWOOD,181104
31612,DANAOS,261102
31612,TPMOFF,261102
31613,DANAOS,181104
31614,DANAOS,181104
31615,DANAOS,261102
31616,PENWOOD,181104
31616,DANAOS,181104
31618,DANAOS,181104
31619,DANAOS,181104
31620,DANAOS,181104
31621,DANAOS,181104
31621,PENWOOD,181104
31622,CUBIC,181104
31622,DANAOS,181104
31622,PENWOOD,181104
31623,DANAOS,181104
31624,DANAOS,181104
31625,DANAOS,181104
31626,DANAOS,181104
31627,PENWOOD,131534
31627,DANAOS,131534
31628,DANAOS,181104
31629,DANAOS,181104
31630,CUBIC,181104
31630,DANAOS,181104
31630,PENWOOD,181104
31631,TPMOFF,181104
31631,DANAOS,181104
31632,TPMOFF,181104
31632,QCT,181104
31632,DANAOS,181104
31632,PENWOOD,181104
31633,TPMOFF,181104
31633,DANAOS,181104
31634,DANAOS,181104
31634,TPMOFF,181104
31635,DANAOS,181104
31636,DANAOS,181104
31637,DANAOS,181104
31638,DANAOS,181104
31639,DANAOS,181104
31640,DANAOS,181104
31641,DANAOS,181104
31642,DANAOS,181104
31643,DANAOS,181104
31645,TPMOFF,181104
31645,DANAOS,181104
31646,DANAOS,181104
31647,DANAOS,181104
31648,DANAOS,181104
31649,DANAOS,181104
31650,TPMOFF,181104
31650,PENWOOD,251102
31651,DANAOS,181104
31651,TPMOFF,181104
31651,PENWOOD,181104
31652,DANAOS,181104
31652,TPMOFF,181104
31653,DANAOS,181104
31654,DANAOS,181104
31655,DANAOS,181104
31660,CUBIC,181104
31660,DANAOS,181104
31660,PENWOOD,181104
31665,DANAOS,181104
31670,DANAOS,181104
31680,DANAOS,181104
31690,PENWOOD,181104
31690,DANAOS,181104
31690,CUBIC,181104
31700,DANAOS,181104
31700,TPMOFF,181106
31710,TPMOFF,217702
31710,DANAOS,181104
31720,DANAOS,181104
31730,DANAOS,181104
31730,PENWOOD,181104
31740,DANAOS,181104
31750,DANAOS,181104
31770,PENWOOD,251104
31800,TPMOFF,181104
32005,TPMOFF,231502
32010,PENWOOD,261798
32010,TPMOFF,219002
32010,EPSCHARTER,261798
32010,CUBIC,261602
32010,DANAOS,261798
32010,QCT,261602
32020,TPMOFF,219002
32030,PENWOOD,261602
32500,PENWOOD,251102
33010,DANAOS,183106
33010,QCT,183106
33010,EPSCHARTER,183106
33010,CUBIC,183106
33010,PENWOOD,183106
33020,DANAOS,261106
33020,QCT,261106
33020,PENWOOD,261106
33020,CUBIC,261106
33030,DANAOS,261108
33030,CUBIC,261108
33030,QCT,261108
33030,PENWOOD,261108
33040,CUBIC,261104
33040,QCT,261104
33040,DANAOS,261104
33040,PENWOOD,261104
33045,DANAOS,261406
33045,PENWOOD,261406
33045,QCT,261406
33045,CUBIC,261406
33050,EPSCHARTER,261406
33050,PENWOOD,261406
33050,DANAOS,261406
33050,QCT,261406
33060,DANAOS,261406
33070,DANAOS,261406
33070,PENWOOD,261406
33080,CUBIC,261406
33080,PENWOOD,261406
33080,DANAOS,261406
33090,CUBIC,183108
33090,QCT,183108
33090,DANAOS,183108
33090,PENWOOD,183108
33095,PENWOOD,181104
33095,DANAOS,181104
33100,DANAOS,183108
33100,PENWOOD,183108
34110,DANAOS,181104
34200,CUBIC,261406
34200,DANAOS,261406
34200,PENWOOD,261406
34310,DANAOS,261394
34310,PENWOOD,261394
34311,DANAOS,261394
34311,PENWOOD,261394
34320,CUBIC,261402
34320,DANAOS,261402
34320,PENWOOD,261402
34330,PENWOOD,261406
34330,QCT,261406
34330,DANAOS,261406
34331,DANAOS,181106
34331,QCT,181106
34331,CUBIC,181106
34331,EPSCHARTER,181106
34331,PENWOOD,181106
34335,PENWOOD,261396
34335,DANAOS,261396
34340,PENWOOD,281002
34340,DANAOS,281002
34340,CUBIC,281002
34340,EPSCHARTER,281002
34350,QCT,111136
34350,PENWOOD,111136
34350,CUBIC,111136
34350,DANAOS,111136
34360,PENWOOD,111136
34360,DANAOS,111136
34360,QCT,111136
34360,CUBIC,111136
34362,CUBIC,111136
34362,QCT,111136
34362,DANAOS,111136
34362,PENWOOD,111136
34364,PENWOOD,111136
34364,QCT,111136
34364,CUBIC,111136
34364,DANAOS,111136
34366,CUBIC,111136
34366,QCT,111136
34366,DANAOS,111136
34366,PENWOOD,111136
34368,QCT,111136
34368,DANAOS,111136
34368,PENWOOD,111136
34368,CUBIC,111136
34370,CUBIC,111136
34370,PENWOOD,111136
34370,QCT,111136
34370,DANAOS,111136
34380,PENWOOD,111136
34380,DANAOS,111136
34380,CUBIC,111136
34380,EPSCHARTER,111136
34380,QCT,111136
34385,DANAOS,111136
34390,DANAOS,111136
34410,QCT,261406
34410,PENWOOD,261406
34410,DANAOS,261406
34420,PENWOOD,261388
34420,QCT,261388
34420,EPSCHARTER,261388
34420,CUBIC,261388
34420,DANAOS,261388
34430,QCT,261388
34430,EPSCHARTER,261388
34430,PENWOOD,261388
34430,CUBIC,261388
34430,DANAOS,261388
34440,EPSCHARTER,261318
34440,DANAOS,261318
34440,CUBIC,261318
34440,PENWOOD,261318
34440,QCT,261318
34450,PENWOOD,261318
34450,CUBIC,261318
34450,EPSCHARTER,261318
34450,DANAOS,261318
34450,QCT,261318
34451,DANAOS,261318
34451,PENWOOD,261318
34451,QCT,261318
34460,QCT,261318
34460,DANAOS,261318
34460,CUBIC,261318
34460,PENWOOD,261318
34470,DANAOS,261402
34470,CUBIC,261402
34470,QCT,261402
34470,PENWOOD,261402
34480,QCT,261394
34480,DANAOS,261394
34480,CUBIC,261394
34480,PENWOOD,261394
34482,EPSCHARTER,261372
34482,PENWOOD,261372
34483,PENWOOD,261374
34483,EPSCHARTER,261374
34484,EPSCHARTER,261378
34484,PENWOOD,261378
34490,CUBIC,261404
34490,PENWOOD,261404
34490,QCT,261404
34490,EPSCHARTER,261404
34490,DANAOS,261404
34491,CUBIC,261352
34491,PENWOOD,261352
34491,DANAOS,261352
34492,QCT,261354
34492,PENWOOD,261354
34492,DANAOS,261354
34493,EPSCHARTER,261362
34493,PENWOOD,261362
34493,DANAOS,261362
34493,QCT,261362
34494,PENWOOD,261358
34494,DANAOS,261358
35226,PENWOOD,261816
35226,QCT,261816
35227,PENWOOD,261816
35227,DANAOS,261816
35230,PENWOOD,261366
35230,EPSCHARTER,261366
35230,DANAOS,261366
35250,PENWOOD,261358
35250,DANAOS,261358
35260,CUBIC,261362
35260,EPSCHARTER,261362
35260,QCT,261362
35260,PENWOOD,261362
35260,DANAOS,261362
35270,PENWOOD,261364
35270,QCT,261364
35270,CUBIC,261364
35270,DANAOS,261364
35280,QCT,261358
35280,CUBIC,261358
35280,EPSCHARTER,261358
35280,PENWOOD,261358
35280,DANAOS,261358
35290,DANAOS,261354
35290,PENWOOD,261354
35290,QCT,261354
35290,CUBIC,261354
35290,EPSCHARTER,261354
35300,EPSCHARTER,261354
35300,PENWOOD,261354
35300,CUBIC,261354
35300,DANAOS,261354
35300,QCT,261354
35301,DANAOS,261354
35303,DANAOS,261354
35305,PENWOOD,261354
35305,DANAOS,261354
35310,QCT,261354
35310,CUBIC,261354
35310,PENWOOD,261354
35310,EPSCHARTER,261354
35310,DANAOS,261354
35311,PENWOOD,261354
35311,QCT,261354
35311,DANAOS,261354
35313,DANAOS,261354
35313,PENWOOD,261354
35315,DANAOS,261354
35320,DANAOS,261356
35320,PENWOOD,261356
35330,QCT,261356
35330,PENWOOD,261356
35330,DANAOS,261356
35340,PENWOOD,261356
35340,DANAOS,261356
35350,EPSCHARTER,261356
35350,QCT,261356
35350,CUBIC,261356
35350,DANAOS,261356
35350,PENWOOD,261356
35360,DANAOS,261406
35390,PENWOOD,261394
35390,CUBIC,261394
35390,EPSCHARTER,261394
35390,DANAOS,261394
35390,QCT,261394
35392,QCT,261394
35392,EPSCHARTER,261394
35392,CUBIC,261394
35392,DANAOS,261394
35392,PENWOOD,261394
35400,PENWOOD,261352
35400,QCT,261352
35400,DANAOS,261352
35405,PENWOOD,261352
35405,DANAOS,261352
35405,EPSCHARTER,261352
35405,CUBIC,261352
35405,QCT,261352
35410,PENWOOD,261406
35410,DANAOS,261406
35410,EPSCHARTER,261406
35410,QCT,261406
35410,CUBIC,261406
35450,DANAOS,261406
35450,QCT,261406
35450,PENWOOD,261406
35450,CUBIC,261406
35450,EPSCHARTER,261406
35500,DANAOS,261386
35500,EPSCHARTER,261386
35500,PENWOOD,261386
35500,QCT,261386
35510,EPSCHARTER,261372
35510,PENWOOD,261372
35520,PENWOOD,261374
35520,EPSCHARTER,261374
35530,EPSCHARTER,261378
35530,PENWOOD,261378
35540,EPSCHARTER,261384
35540,PENWOOD,261384
